,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
3142070,fab65f71c47509,99f54a26426d3c,dc8943c087d0d9,0,3,155.8,2,0,3,14,0,2,1,23.52,1477,duo-fpp,46,43,1432,0,0.0,0,0.0,0,0,2277.0,3,0,0.8889
2029547,d9ab8e6e2c4e3a,6a907f293d91f2,dab62b81c0651e,2,3,372.5,2,1,4,8,0,3,1,182.2,1969,duo,46,44,1551,0,0.0,0,0.0,0,0,3203.0,5,0,0.9333
3697458,4f3f950f3f8bca,f6b49c18934c5c,0c71650cda7739,1,0,189.8,1,0,1,31,0,1,1,2.262,1836,squad-fpp,26,25,1477,0,0.0,0,0.0,0,0,493.6,3,0,0.32
2413430,c3333ac32d8d96,a85e6012660eab,246aba5ad4a9ef,0,2,65.52,0,0,5,65,0,0,0,0.0,1882,squad,29,28,1459,0,0.0,0,0.0,0,0,364.5,3,0,0.2857
905477,5247d0ee2d0dbc,88e01cfc580b80,e3d9e274f584b9,0,1,100.0,0,0,0,33,1107,1,1,1.432,1438,solo-fpp,95,91,-1,0,0.0,0,0.0,0,0,677.3,3,1492,0.5532
451689,cf573773a54bed,fbabe42ccff43c,5e66d225a7fdeb,0,0,115.4,2,0,1,30,1383,1,1,6.395,1267,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,128.6,3,1524,0.3333
2315753,e436d024c6b81f,d9d1b4816e75fb,e11d2cd04d47ce,0,0,51.6,0,0,2,63,0,0,0,0.0,1383,solo-fpp,94,92,1496,0,0.0,0,0.0,0,0,318.3,2,0,0.4516
4322771,8061b0be43071e,5eafb9a52ed010,5c83305b498af4,0,0,191.2,3,0,1,11,1453,3,2,77.6,1273,duo-fpp,46,46,-1,1,0.0,0,0.0,0,0,391.4,1,1514,0.3111
2091705,4cb8594f4f7281,a3f4456af1b1c4,7595fefc3f73be,0,3,0.0,0,0,0,43,1084,0,0,0.0,1393,duo,49,48,-1,0,0.0,0,0.0,0,0,1644.0,6,1496,0.8542
3822684,34cbb0ef4f10a7,7fa391af110e95,c3ade791fac5d6,0,0,237.5,2,1,3,5,0,3,2,143.7,1939,squad,27,25,1425,3,0.0,0,0.0,0,0,2066.0,2,0,0.4231
2610392,b231c999b34034,f76b82796da5e0,05e6172c4b1386,0,0,248.9,1,1,0,21,1000,2,1,314.8,1884,duo-fpp,48,47,-1,0,0.0,0,0.0,0,0,448.9,4,1500,0.2553
1809182,0bc42166abdcc3,8d08c3ad7f7707,f0d2a88a8412ef,1,1,271.2,3,0,0,20,0,2,1,76.6,1307,duo-fpp,50,48,1543,1,0.0,0,0.0,0,0,543.9,3,0,0.6939
1358964,c35d8ec437f1fa,3e285f7571fd14,037c04f981fec5,0,0,54.68,1,0,0,71,1493,0,0,0.0,1285,squad-fpp,27,27,-1,0,0.0,0,0.0,0,0,454.6,1,1598,0.2692
2086302,b78f65fd948949,8ec8b62bf6dfbd,9c5d340310bed2,0,0,434.9,0,1,2,4,0,4,1,104.6,1332,solo-fpp,94,90,1517,0,0.0,0,0.0,0,0,2187.0,6,0,0.871
199141,6092d484d22936,0ee713d8a50b35,2e8581cbf315c3,0,0,0.0,0,0,0,85,0,0,0,0.0,1859,duo-fpp,45,41,1500,0,0.0,0,0.0,0,0,178.6,2,0,0.0682
4332600,ed51da822030ce,ae785f0cd89b52,71e8b2cef181eb,0,0,0.0,0,0,0,78,1272,0,0,0.0,1445,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,597.3,1,1430,0.2593
1276264,af155c8ac948c6,6887fc524e7b8d,03b4eea5ae6d8d,0,4,353.9,3,1,3,11,1247,3,1,29.42,1950,squad,27,26,-1,2,6975.0,0,0.0,0,0,2183.0,5,1474,0.8077
1172651,ee1fb2ff2a1361,80993a6097807a,4e8d99da69ccbe,1,0,0.0,0,0,0,95,1240,0,0,0.0,1871,duo-fpp,49,49,-1,0,0.0,0,0.0,0,0,70.52,1,1383,0.0208
2089526,ae38991f7b9244,475bac7ba55a4a,488128d6352782,0,2,0.0,0,0,1,47,1077,0,0,0.0,1434,squad,27,25,-1,1,717.7,0,0.0,0,0,1642.0,6,1494,0.8846
2554077,798ce248cff038,ddb69e471fedd2,3834c63e3c07bb,0,0,0.0,0,0,0,75,0,0,0,0.0,1433,duo-fpp,50,48,1500,0,0.0,0,0.0,0,0,87.06,2,0,0.2449
616081,b5323e5a0b27bc,a399177766a4dd,657c7705c88bff,0,4,0.0,0,0,14,46,0,0,0,0.0,1364,squad,27,26,1567,1,2877.0,0,0.0,0,0,706.7,6,0,0.8462
575397,4766482f38df0a,a377217b43a0eb,afdbfd8d56672d,1,5,150.6,0,0,5,21,0,1,1,7.544,1903,solo,97,94,1528,0,11720.0,0,0.0,0,0,3134.0,7,0,0.9479
3575634,a1ff5bcf926014,7e99afd097cef2,a19a11f0d7ccbe,0,0,26.46,0,0,1,65,0,0,0,0.0,1365,duo-fpp,47,46,1500,0,0.0,0,0.0,0,0,176.1,3,0,0.4565
3594405,3a92c1918fa038,3c919a061cfcc0,eb4f68b71fe192,0,0,0.0,1,0,5,60,0,0,0,0.0,1791,squad-fpp,29,28,1466,1,64.47,0,0.0,0,0,539.7,1,0,0.4643
3911928,a2a5a86ebbbbef,24e818637e2ca1,a7cb5bc2aae3c5,0,3,402.0,3,2,4,9,1215,3,1,119.2,1398,squad,27,27,-1,0,0.0,0,0.0,0,0,2085.0,2,1420,0.7308
4175023,f46c72fc60a94b,e9d5fd75231f63,d55c1b35ec141e,0,8,441.8,2,1,2,6,1466,4,1,93.42,1542,squad-fpp,30,30,-1,2,0.0,0,0.0,0,0,4087.0,4,1478,1.0
1120252,d1deece5953182,5593d6aaaf994f,878f11905cc272,0,0,0.0,0,0,0,84,1037,0,0,0.0,1750,duo-fpp,46,41,-1,0,0.0,0,0.0,0,0,0.0,0,1488,0.0
2654199,a6904561f70dad,1f7493fd5c4aa7,28900885447dc5,0,1,359.4,2,1,1,5,0,4,2,56.51,1859,duo,49,47,1457,1,8302.0,0,0.0,0,0,1245.0,3,0,0.6042
1943471,10350ea2dc7eb2,fea71da6910465,0dfecc9c4bcd29,0,0,0.0,0,0,0,85,1000,0,0,0.0,1381,squad,29,27,-1,0,0.0,0,0.0,0,0,10.43,1,1500,0.0357
1787153,05d28a3fad453b,fed47e5c169d22,e8155d0e62d6f1,0,1,174.3,1,0,2,20,1108,2,2,15.42,1468,duo-fpp,50,46,-1,0,0.0,0,0.0,0,0,1742.0,5,1478,0.7755
490546,7ab39433e02bc6,34b8ad21885a82,70ba5c8adb920a,0,2,57.3,0,0,4,67,0,0,0,0.0,1928,squad-fpp,34,33,1477,0,0.0,0,0.0,0,0,834.4,5,0,0.4545
1324564,99cc65fa0ee1a1,16be23fa7247ff,636002ee927998,0,0,100.0,1,0,0,44,1480,1,1,11.61,1277,duo-fpp,50,49,-1,0,0.0,0,0.0,0,0,55.21,1,1569,0.102
120787,fa5414174ab2f1,931fbed140cdb2,fc6129d0d3c953,0,1,3.243,0,0,0,35,1102,0,0,0.0,1270,squad-fpp,27,25,-1,0,406.1,0,7.68,0,0,2177.0,4,1475,0.9615
4438542,d16335ddee4ba8,4bb30b2790d1fd,fdbdb58d4f6d5d,0,0,181.2,0,0,0,19,0,2,1,54.31,1896,solo-fpp,97,94,1532,0,0.0,0,0.0,0,0,1221.0,6,0,0.5104
1574920,646ec629c3a841,ad198b38eb7766,9af640bcbf0d6f,0,4,73.9,0,0,1,48,1127,0,0,0.0,1900,squad,27,27,-1,1,5662.0,0,0.0,0,0,1607.0,5,1571,0.8077
3377940,a810a2d7d2d789,acfa989329e5f6,026349ed15aea9,0,5,149.9,0,0,0,48,0,0,0,0.0,1896,solo-fpp,99,99,1514,0,0.0,0,0.0,0,0,2188.0,9,0,0.8673
296358,a55ecd6f39618c,d5e0d3e92a3b8e,83f3a8471e8e6e,1,2,452.9,3,0,2,3,0,4,1,19.26,1349,squad,29,29,1379,0,0.0,0,0.0,0,0,1759.0,6,0,0.9643
1025156,14a4ab3522e7e6,26e04e4fa7dc08,7db4f1f77f4b39,0,0,100.0,1,0,1,54,0,0,0,0.0,1482,squad-fpp,28,25,1539,0,0.0,0,0.0,0,0,674.0,4,0,0.4815
3511354,65f1daa13baa5f,7d0c7802d3d750,53f9cbe68d6de1,0,7,19.35,0,0,1,40,1365,0,0,0.0,1387,squad,27,26,-1,0,0.0,0,0.0,0,0,2838.0,2,1653,0.8846
1395051,ab79bed9c13f3b,e5d3127883b187,f653f43444579c,0,6,468.9,0,1,15,8,1386,3,1,83.67,1412,solo-fpp,94,93,-1,0,0.0,0,0.0,0,0,2270.0,5,1495,0.9462
2103971,269e8187b68272,485228323034aa,0fb54f595b5cc8,0,1,0.0,0,0,2,63,0,0,0,0.0,1770,squad-fpp,29,26,1500,0,582.9,0,0.0,0,0,3205.0,8,0,0.5714
1583852,f897a17ef3f0fb,6b8d54799e8679,0535de1f1a0c60,1,2,75.88,0,0,4,56,0,0,0,0.0,1856,duo-fpp,50,42,1498,0,4037.0,0,0.0,0,0,2352.0,8,0,0.7755
2633744,4a5acaa500eace,3e150220a242ea,34cc19a1b2e7ae,0,0,0.0,0,0,0,59,1010,0,0,0.0,1743,duo-fpp,46,43,-1,0,0.0,0,0.0,0,0,160.4,2,1470,0.4667
2630660,6e6076b3f8fe5b,65db9405e52553,9ee4f32d5432a0,0,1,0.0,0,0,0,68,0,0,0,0.0,1377,squad,28,27,1436,0,516.4,0,0.0,0,0,1281.0,5,0,0.3704
3781566,e317abd6b37003,ebd05849bd3233,8670726daaef36,0,0,0.0,0,0,0,52,0,0,0,0.0,1393,duo-fpp,47,47,1522,0,0.0,0,0.0,0,0,1622.0,4,0,0.5652
517991,2475173c12455f,db3883e7016bb1,7fca6dfd204455,1,2,161.3,1,0,12,40,1146,0,0,0.0,1876,squad,26,26,-1,0,1114.0,0,50.55,0,0,6132.0,5,1541,0.96
2587424,2b94ca79aafa59,cca03d916e55b6,6d516f75c8bdc9,0,0,0.0,0,0,0,93,0,0,0,0.0,1218,squad-fpp,31,30,1486,0,0.0,0,0.0,0,0,0.0,0,0,0.0
